qualified_name,month,storage_bytes,cost_usd
PROD_WAREHOUSE.ANALYTICS.CUSTOMER_EVENTS,2026-01,12000000000,48.00
PROD_WAREHOUSE.ANALYTICS.CUSTOMER_EVENTS,2026-02,12400000000,49.60
PROD_WAREHOUSE.RAW.TRANSACTIONS,2026-01,34000000000,136.00
PROD_WAREHOUSE.RAW.TRANSACTIONS,2026-02,35200000000,140.80
PROD_WAREHOUSE.ANALYTICS.USER_PROFILES,2026-01,2400000000,9.60
PROD_WAREHOUSE.ANALYTICS.USER_PROFILES,2026-02,2480000000,9.92
PROD_WAREHOUSE.REPORTING.PRODUCT_CATALOG,2026-01,45000000,0.18
PROD_WAREHOUSE.REPORTING.PRODUCT_CATALOG,2026-02,45000000,0.18
PROD_WAREHOUSE.ANALYTICS.REVENUE_DAILY,2026-01,8500000,0.03
PROD_WAREHOUSE.ANALYTICS.REVENUE_DAILY,2026-02,8800000,0.04
PROD_WAREHOUSE.STAGING.MARKETING_CAMPAIGNS,2026-01,12000000,0.05
PROD_WAREHOUSE.STAGING.MARKETING_CAMPAIGNS,2026-02,12000000,0.05
PROD_WAREHOUSE.STAGING.LEGACY_CRM_EXTRACT,2026-01,3400000000,13.60
PROD_WAREHOUSE.STAGING.LEGACY_CRM_EXTRACT,2026-02,3400000000,13.60
PROD_WAREHOUSE.ANALYTICS.CUSTOMER_360_SUMMARY,2026-01,1800000000,7.20
PROD_WAREHOUSE.ANALYTICS.CUSTOMER_360_SUMMARY,2026-02,1850000000,7.40
